"ID";"Nome";"Logradouro";"Município";"UF";"Percentual.de.Execução";"classificação_tb";"total_repassado";"Empresa.Contratada"
1015227;"UE OSVALDO CRUZ - Apicum-Açu - MA";"Travessa da rua principal";"Apicum-Açu";"MA";69,39;"atrasada";601721,409408052;"(14712112000180) CONSTRUTORA DIPLOMATA LTDA - EPP"
1015232;"POV. PAIOL - Arari - MA";"RUA PROJETADA";"Arari";"MA";98,47;"atrasada";245133,861696142;"(19541608000151) BRITO E DIAS LTDA - ME"
1015236;"Pov Cajazinho - Arari - MA";"RUA PRINCIPAL ";"Arari";"MA";99,92;"atrasada";270204,369609537;"(00494917000190) POLY ENGENHARIA LTDA"
1015237;"E.M. Povoado Ilha da Pindoba - Arari - MA";"Rua Principal";"Arari";"MA";21,61;"atrasada";31375,4748281277;"(19541608000151) BRITO E DIAS LTDA - ME"
1015241;"E.M. Povoado Passa Bem - Arari - MA";"Rua Principal";"Arari";"MA";73,6;"atrasada";203349,677914716;"(08671930000189) CERVEIRA CONSTRUCOES LTDA"
1015244;"Setor das Mansões - Jataí - GO";"Corredor dos Protestantes";"Jataí";"GO";54,28;"atrasada";1862069,82018107;"(26884684000125) CONSTRUTORA ANHANGUERA LTDA"
1015246;"E.M. SÃO CRISTOVÃO - Balsas - MA";"POVOADO PEBA";"Balsas";"MA";47,29;"atrasada";457363,542971171;"(02354503000190) CONSRIL - CONSTRUTORA RIPARDO LTDA"
1015267;"OLHO D AGUA DA PEDRA - Limoeiro de Anadia - AL";"Distrito Pé Leve";"Limoeiro de Anadia";"AL";95,81;"atrasada";839952,617883976;"(04861235000129) S S INACIO SANTOS & CIA LTDA"
1015268;"CHÃ DO MIRANDA - Limoeiro de Anadia - AL";"Distrito Pé Leve";"Limoeiro de Anadia";"AL";97,27;"atrasada";988804,950134685;"(08533362000150) M. A. PIRES FERREIRA"
1015269;"INXUNDIA - Limoeiro de Anadia - AL";"estrada de limoeiro de anadia ao povoado de inxundia";"Limoeiro de Anadia";"AL";96,35;"atrasada";776158,74101544;"(15040821000129) W K ENGENHARIA E SERVICOS LTDA - EPP"
1015270;"BOM DESPACHO - Passo de Camaragibe - AL";"Rua Fernandes Lima";"Passo de Camaragibe";"AL";21,5;"atrasada";235168,226626048;"(19037895000167) H L CONSTRUCOES E SERVICOS LTDA - EPP"
1015271;"POVOADO BARRA DE CAMARAGIBE - Passo de Camaragibe - AL";"Rua da Igreja";"Passo de Camaragibe";"AL";13,62;"atrasada";200944,39950195;"(19037895000167) H L CONSTRUCOES E SERVICOS LTDA - EPP"
1015274;"Povoado Porto Alegre - Governador Luiz Rocha - MA";"Estrada Vicinal";"Governador Luiz Rocha";"MA";21,62;"atrasada";172917,390763151;"(07999481000130) L T M CONSTRUCOES LTDA"
1015311;"Terreno público no Povoado Ilha da Malhada - Malhada - BA";"Povoado Ilha da Malhada";"Malhada";"BA";0;"atrasada";57487,8853285187;"(05507121000148) EUPLAN CONSTRUCOES E LOCACOES DE MAQUINAS E EQUIPAMENTOS LTDA ME"
1015320;"E.M.E.F. BELARMINA SOARES - Placas - PA";"AV. FREI REINEIRO S/N";"Placas";"PA";92,55;"atrasada";1119268,96837376;"(02229756000132) METALURGICA CACOAL LTDA"
1015322;"ESCOLA VILA ORIENTE/TAB.DAS MOÇAS - Alto Santo - CE";"SÍTIO TABULEIRO DAS MOÇAS";"Alto Santo";"CE";74,99;"atrasada";844064,380265287;"(20000230000168) H J S CONSTRUCOES EIRELI - ME"
1015327;"Escola Distrito de Betânia  - Croatá - CE";"Rua S.D.O ";"Croatá";"CE";37,33;"atrasada";1463492,20856577;"(02995565000181) CONSTRUTORA HUMAITA LTDA"
1015330;"Sitio Milagres - Ererê - CE";"Sitio Milagres";"Ererê";"CE";17,02;"atrasada";173371,111508185;"(18445164000198) S N DOS SANTOS - ME"
